id,web_name,team_name,team_short_name,position,price,selected_by_percent,total_points,minutes,goals_scored,assists,form,points_per_game,ict_index,influence,creativity,threat,status,news,chance_of_playing_next_round,availability,opponent,home,fixture_difficulty,fixture_adjustment,base_projection,projected_points,value
273,Phillips,Hull City,HUL,GKP,4.0,2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,MUN,True,,1.0,0.0,0.0,0.0
274,Butland,Hull City,HUL,GKP,4.5,0.8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,i,Arm injury - Unknown return date,0.0,0.0,MUN,True,,1.0,0.0,0.0,0.0
275,Cartwright,Hull City,HUL,GKP,4.0,0.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,u,Has joined Grimsby Town on loan for the rest of the season,0.0,0.0,MUN,True,,1.0,0.0,0.0,0.0
49,Iling Jr,Aston Villa,AVL,MID,5.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,BHA,False,,1.0,0.0,0.0,0.0
194,Thomas-Asante,Coventry City,COV,FWD,5.0,0.8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,ARS,False,,1.0,0.0,0.0,0.0
195,Simms,Coventry City,COV,FWD,5.0,0.6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,ARS,False,,1.0,0.0,0.0,0.0
196,Markelo,Coventry City,COV,FWD,5.0,0.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,ARS,False,,1.0,0.0,0.0,0.0
197,Bassette,Coventry City,COV,FWD,4.5,0.4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,u,Has joined KVC Westerlo on loan for the rest of the season,0.0,0.0,ARS,False,,1.0,0.0,0.0,0.0
207,Mingueza,Crystal Palace,CRY,DEF,4.5,0.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,EVE,False,,1.0,0.0,0.0,0.0
217,M.França,Crystal Palace,CRY,MID,5.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,EVE,False,,1.0,0.0,0.0,0.0
218,Doucouré,Crystal Palace,CRY,MID,5.0,0.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,EVE,False,,1.0,0.0,0.0,0.0
219,J.Rak-Sakyi,Crystal Palace,CRY,MID,5.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,EVE,False,,1.0,0.0,0.0,0.0
530,Patterson,Sunderland,SUN,GKP,4.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,a,,,1.0,IPS,False,,1.0,0.0,0.0,0.0
6,Saliba,Arsenal,ARS,DEF,6.0,0.5,137,2614,1,0,0.0,4.4,84.3,552.6,201.0,90.0,i,Back injury - Unknown return date,0.0,0.0,COV,True,,1.0,18.18,0.0,0.0
